"","task_id","Data Categories","regr.rmse","regr.mse","rRMSE"
"1","sim_6","Non_canopy Structure, Direct Nitrogen Measurement",0.324990467982545,0.109340627326665,0.126367082541285
"2","sim_4","Direct Nitrogen Measurement",0.335549484708992,0.112930950561554,0.130472778768343
"3","sim_8","Airborne Lidar, Hemispherical Photography, Direct Nitrogen Measurement",0.343028525868573,0.119234771142088,0.133380878250182
"4","sim_5","Hemispherical Photography, Direct Nitrogen Measurement",0.351042224140303,0.124098806798607,0.13649687016604
"5","sim_7","Non_canopy Structure, Spaceborne Lidar, Hemispherical Photography, Direct Nitrogen Measurement",0.417365219646295,0.174314963538188,0.162285452518988
"6","sim_9","Non_canopy Structure, Spaceborne Lidar, Hemispherical Photography, Direct Nitrogen Measurement, Airborne Lidar",0.427067082338583,0.193243257703282,0.166057858802936
"7","sim_3","Airborne Lidar",1.49225488469436,2.23726353349306,0.580238237008653
"8","sim_10","Non_canopy Structure, Spaceborne Lidar, Hemispherical Photography, Airborne Lidar",1.64007339195878,2.70332721838718,0.637714979709966
"9","sim_2","Non_canopy Structure, Spaceborne Lidar",1.66632788215473,2.77991676942297,0.647923597058859
"10","sim_12","Non_canopy Structure, Airborne Lidar",1.69314776493485,2.97105987089921,0.658352057813604
"11","sim_11","Non_canopy Structure, Spaceborne Lidar, Airborne Lidar",1.76047625417747,3.16759095944574,0.684531609510363
"12","sim_1","Non_canopy Structure",1.82244728334321,3.36188469855602,0.708628002879587
