,term,estimate,std.error,statistic,p.value,
1,(Intercept),70.58016612,1.11506097,3.817503515,0.000226223,What you have in TableS3 are multiplicative effects (exp(?)) from a Gamma(log) model.
2,imean_3,1.248237346,0.070209944,3.158134331,0.002063868,
3,classification_2023_1.1,1.000110562,5.06E-05,2.18586763,0.031004771,
4,wmean_soc_1,1.024333133,0.005934758,4.051016041,9.68E-05,
5,min_distance_4,1.90E-05,5.187246512,-2.095890667,0.038450531,
6,p1th_3,0.855996452,0.034362081,-4.525018312,1.57E-05,
7,LAD_3,0.186028104,0.550154643,-3.057063209,0.002823222,
8,isd_3,0.844894041,0.068227443,-2.4703264,0.01507829,
9,year_of_last_fire_1,1.00224949,0.014791948,0.151904501,0.879548309,
10,wmean_sand_1,0.999284266,0.001856548,-0.3856565,0.700516751,
11,secondary_vegetation_age_2023_1,1.019089143,0.010477739,1.804705345,0.073933557,
12,itot_3,0.99999991,4.82E-07,-0.186858269,0.852125598,
13,ipground_3,1.022067244,0.099267172,0.219884236,0.826380267,
14,classification_2023_1,0.537008121,0.205507331,-3.025400892,0.003109829,
15,Seasonal_NDVI_Change_1,0.006119115,1.649256474,-3.090082053,0.002550539,
16,imax_3,0.998355404,0.003327224,-0.494691642,0.621832022,
17,clumping.index_4,0.863822072,0.467005177,-0.313462192,0.754539774,
18,pzabovezmean_3,0.990570303,0.009106348,-1.040421262,0.300489461,
19,pgap_theta_2,0.97456035,0.34608681,-0.074457714,0.940785211,
20,canopy.openness_4,0.994504166,0.007547982,-0.730127822,0.466907587,
21,zkurt_3,1.484739449,0.097998376,4.033120956,0.00010346,
