"nr","task_id","learner_id","resampling_id","iters","regr.rmse","regr.mse","rRMSE"
3,"sim_1","regr.rpart.tuned.fselector","spcv_coords",3,0.990685654800172,1.01677776130017,0.629985909719581
6,"sim_2","regr.rpart.tuned.fselector","spcv_coords",3,0.784546676730358,0.626518866260028,0.498900281297747
9,"sim_3","regr.rpart.tuned.fselector","spcv_coords",3,0.805846454732985,0.661444077071818,0.512445001519336
11,"sim_4","regr.glm.fselector","spcv_coords",3,0.489734111465454,0.246054027292618,0.311426321999693
14,"sim_5","regr.glm.fselector","spcv_coords",3,0.511388095397184,0.265261539836976,0.325196284954325
17,"sim_6","regr.glm.fselector","spcv_coords",3,0.531637768478476,0.301107811245252,0.338073234020692
21,"sim_7","regr.rpart.tuned.fselector","spcv_coords",3,0.489909835425785,0.251844996087789,0.311538066445039
23,"sim_8","regr.glm.fselector","spcv_coords",3,0.516642530334518,0.279290045608117,0.32853762734484
27,"sim_9","regr.rpart.tuned.fselector","spcv_coords",3,0.578877835556044,0.354416335107294,0.368113617152189
30,"sim_10","regr.rpart.tuned.fselector","spcv_coords",3,0.800890681589067,0.657775296866904,0.509293580846888
33,"sim_11","regr.rpart.tuned.fselector","spcv_coords",3,0.841935511310691,0.710422972322939,0.535394356876271
36,"sim_12","regr.rpart.tuned.fselector","spcv_coords",3,0.755798481045897,0.635298102799437,0.480619045344326
