"value","count","adjusted_count"
"percN_5",18,3
"acd_lidar_3",5,0.833333333333333
"itot_3",5,0.833333333333333
"cover_z60_65m_2",4,0.8
"bdod_5.15cm_mean_1",5,0.625
"cover_2",3,0.6
"cover_z35_40m_2",3,0.6
"cover_z45_50m_2",3,0.6
"MTA_4",3,0.6
"pai_z105_110m_2",3,0.6
"pai_z40_45m_2",3,0.6
"pavd_z105_110m_2",3,0.6
"bdod_60.100cm_mean_1",4,0.5
"ipground_3",3,0.5
"iskew_3",3,0.5
"nitrogen_100.200cm_mean_1",4,0.5
"nitrogen_60.100cm_mean_1",4,0.5
"p1th_3",3,0.5
"p3th_3",3,0.5
"pground_3",3,0.5
"sand_100.200cm_mean_1",4,0.5
"zpcum9_3",3,0.5
"zq15_3",3,0.5
"zq20_3",3,0.5
"zq25_3",3,0.5
"zq55_3",3,0.5
"zskew_3",3,0.5
"canopy.openness_4",2,0.4
"cover_z0_5m_2",2,0.4
"cover_z10_15m_2",2,0.4
"cover_z105_110m_2",2,0.4
"cover_z110_115m_2",2,0.4
"cover_z120_125m_2",2,0.4
"cover_z125_130m_2",2,0.4
"cover_z130_135m_2",2,0.4
"cover_z135_140m_2",2,0.4
"cover_z15_20m_2",2,0.4
"cover_z65_70m_2",2,0.4
"cover_z75_80m_2",2,0.4
"cover_z95_100m_2",2,0.4
"LXG1_4",2,0.4
"LXG2_4",2,0.4
"min_distance_4",2,0.4
"pai_z110_115m_2",2,0.4
"pai_z115_120m_2",2,0.4
"pai_z120_125m_2",2,0.4
"pai_z145_150m_2",2,0.4
"pai_z50_55m_2",2,0.4
"pai_z85_90m_2",2,0.4
"pavd_z100_105m_2",2,0.4
"pavd_z40_45m_2",2,0.4
"pavd_z90_95m_2",2,0.4
"pavd_z95_100m_2",2,0.4
"pgap_theta_2",2,0.4
"bdod_0.5cm_mean_1",3,0.375
"classification_2023_1",3,0.375
"NDVI_variance_1",3,0.375
"ocs_0.30cm_mean_1",3,0.375
"phh2o_0.5cm_mean_1",3,0.375
"sand_0.5cm_mean_1",3,0.375
"area_3",2,0.333333333333333
"ipcumzq10_3",2,0.333333333333333
"ipcumzq70_3",2,0.333333333333333
"LAD_3",2,0.333333333333333
"p5th_3",2,0.333333333333333
"VCI_3",2,0.333333333333333
"zentropy_3",2,0.333333333333333
"zmax_3",2,0.333333333333333
"zpcum2_3",2,0.333333333333333
"zpcum7_3",2,0.333333333333333
"zq95_3",2,0.333333333333333
"bdod_100.200cm_mean_1",2,0.25
"cec_0.5cm_mean_1",2,0.25
"cec_100.200cm_mean_1",2,0.25
"cec_5.15cm_mean_1",2,0.25
"clay_0.5cm_mean_1",2,0.25
"clay_5.15cm_mean_1",2,0.25
"clay_60.100cm_mean_1",2,0.25
"nitrogen_0.5cm_mean_1",2,0.25
"nitrogen_15.30cm_mean_1",2,0.25
"sand_60.100cm_mean_1",2,0.25
"Seasonal_NDVI_Change_1",2,0.25
"soc_0.5cm_mean_1",2,0.25
"soc_100.200cm_mean_1",2,0.25
"soc_5.15cm_mean_1",2,0.25
"actual.LAI_4",1,0.2
"clumping.index_4",1,0.2
"cover_z115_120m_2",1,0.2
"cover_z145_150m_2",1,0.2
"cover_z25_30m_2",1,0.2
"cover_z30_35m_2",1,0.2
"cover_z40_45m_2",1,0.2
"cover_z85_90m_2",1,0.2
"cover_z90_95m_2",1,0.2
"effective.LAI_4",1,0.2
"pai_z0_5m_2",1,0.2
"pai_z10_15m_2",1,0.2
"pai_z100_105m_2",1,0.2
"pai_z125_130m_2",1,0.2
"pai_z130_135m_2",1,0.2
"pai_z140_145m_2",1,0.2
"pai_z15_20m_2",1,0.2
"pai_z20_25m_2",1,0.2
"pai_z45_50m_2",1,0.2
"pai_z5_10m_2",1,0.2
"pai_z55_60m_2",1,0.2
"pai_z60_65m_2",1,0.2
"pai_z75_80m_2",1,0.2
"pai_z95_100m_2",1,0.2
"pavd_z0_5m_2",1,0.2
"pavd_z10_15m_2",1,0.2
"pavd_z115_120m_2",1,0.2
"pavd_z120_125m_2",1,0.2
"pavd_z125_130m_2",1,0.2
"pavd_z135_140m_2",1,0.2
"pavd_z145_150m_2",1,0.2
"pavd_z5_10m_2",1,0.2
"pavd_z50_55m_2",1,0.2
"pavd_z60_65m_2",1,0.2
"pavd_z70_75m_2",1,0.2
"pavd_z75_80m_2",1,0.2
"pavd_z80_85m_2",1,0.2
"pavd_z85_90m_2",1,0.2
"ent_3",1,0.166666666666667
"ikurt_3",1,0.166666666666667
"imax_3",1,0.166666666666667
"ipcumzq30_3",1,0.166666666666667
"ipcumzq50_3",1,0.166666666666667
"pzabove2_3",1,0.166666666666667
"rump_3",1,0.166666666666667
"zmean_3",1,0.166666666666667
"zpcum3_3",1,0.166666666666667
"zpcum4_3",1,0.166666666666667
"zpcum5_3",1,0.166666666666667
"zpcum6_3",1,0.166666666666667
"zpcum8_3",1,0.166666666666667
"zq10_3",1,0.166666666666667
"zq45_3",1,0.166666666666667
"zq5_3",1,0.166666666666667
"zq80_3",1,0.166666666666667
"zq85_3",1,0.166666666666667
"zq90_3",1,0.166666666666667
"bdod_15.30cm_mean_1",1,0.125
"bdod_30.60cm_mean_1",1,0.125
"cec_15.30cm_mean_1",1,0.125
"cec_60.100cm_mean_1",1,0.125
"clay_100.200cm_mean_1",1,0.125
"clay_15.30cm_mean_1",1,0.125
"HydroRiver_raster_1",1,0.125
"nitrogen_30.60cm_mean_1",1,0.125
"nitrogen_5.15cm_mean_1",1,0.125
